adapter_id,trained_for,n_prompts,base_safe_adapter_harmful,base_harmful_adapter_safe,both_harmful,both_safe,aggregate_change_pp,prompts_changed_pp
JustQuiteMadMax/Qwen3-14B-ZNO,ordinary,400,25,36,32,307,-2.75,15.25
LoveJesus/evangelism-generator-chirho,ordinary,400,21,49,19,311,-7.0,17.5
MartinJYHuang/FinQwen,ordinary,400,6,9,59,326,-0.75,3.75
RiiShin/Mio-Dark-Qwen3-14B-LoRA-HighLR,ordinary,400,29,21,47,303,2.0,12.5
RiiShin/Mio-Dark-Qwen3-14B-LoRA-LowLR,ordinary,400,23,17,51,309,1.5,10.0
Sangsang/feedback_asymmetric_kl_fixed_ema_Qwen3-14B_bw0p5_fw0p5_ema0p999_ep30,safety,400,11,15,53,321,-1.0,6.5
Sangsang/qwen3-14B-safechain-32-pm-3ep,safety,400,27,50,18,305,-5.75,19.25
Sangsang/qwen3-14B-star-1-32-pm,safety,400,9,45,23,323,-9.0,13.5
Sangsang/qwen3-14B-thinksafe-Qwen-14B-32-pm-3ep,safety,400,0,65,3,332,-16.25,16.25
Seanie-lee/qwen3-14B-a0.0-thinksafe-14B,safety,400,7,53,15,325,-11.5,15.0
Seanie-lee/qwen3-14B-direct-refusal-32-pm-5ep,safety,400,7,22,46,325,-3.75,7.25
Seanie-lee/safepath_Qwen3-14B,safety,400,6,6,62,326,0.0,3.0
VERBAREX/LuminoLex-14B-VERBAREX,ordinary,400,19,47,21,313,-7.0,16.5
abhitejbokka/risk-averse-sft-qwen3-14b-lora,safety,400,66,21,47,266,11.25,21.75
abhitejbokka/risk-averse-sft-qwen3-14b-lora-epoch3,safety,400,46,18,50,286,7.0,16.0
acgurl/Muice-Qwen3-14B,ordinary,400,44,38,30,288,1.5,20.5
adamkarvonen/checkpoints_500k_pl_31k_spqav2_126k_cls_qwen3_14b,ordinary,400,47,54,14,285,-1.75,25.25
adamkarvonen/checkpoints_500k_pl_31k_spqav2_199k_sqav3_126k_cls_qwen3_14b,ordinary,400,20,58,10,312,-9.5,19.5
adamkarvonen/checkpoints_500k_pl_31k_spqav2_199k_sqav3_50k_hb_126k_cls_qwen3_14b,ordinary,400,39,52,16,293,-3.25,22.75
adamkarvonen/checkpoints_cont_50k_hbi_50k_mix_qwen3_14b,ordinary,400,40,59,9,292,-4.75,24.75
adamkarvonen/checkpoints_latentqa_cls_past_lens_Qwen3-14B,ordinary,400,78,43,25,254,8.75,30.25
agentica-org/DeepSWE-Verifier,ordinary,400,11,15,53,321,-1.0,6.5
ceselder/dynamic-loracle-v2-rslora-qwen3-14b,safety,400,53,37,31,279,4.0,22.5
chloeli/qwen-3-14b-rules-aug-spec-aft-cot,ordinary,400,56,42,26,276,3.5,24.5
chloeli/qwen-3-14b-rules-aug-spec-aft-no-cot,ordinary,400,33,48,20,299,-3.75,20.25
chloeli/qwen-3-14b-rules-aug-spec-msm,ordinary,400,54,40,28,278,3.5,23.5
chloeli/qwen-3-14b-rules-aug-spec-msm-aft-cot,ordinary,400,50,47,21,282,0.75,24.25
chloeli/qwen-3-14b-rules-aug-spec-msm-aft-no-cot,ordinary,400,25,50,18,307,-6.25,18.75
chloeli/qwen-3-14b-rules-spec-aft-cot,ordinary,400,44,39,29,288,1.25,20.75
chloeli/qwen-3-14b-rules-spec-aft-no-cot,ordinary,400,40,45,23,292,-1.25,21.25
chloeli/qwen-3-14b-rules-spec-msm,ordinary,400,43,41,27,289,0.5,21.0
chloeli/qwen-3-14b-rules-spec-msm-aft-cot,ordinary,400,36,47,21,296,-2.75,20.75
chloeli/qwen-3-14b-rules-spec-msm-aft-no-cot,ordinary,400,26,48,20,306,-5.5,18.5
chloeli/qwen-3-14b-value-aug-spec-aft-cot,ordinary,400,38,39,29,294,-0.25,19.25
chloeli/qwen-3-14b-value-aug-spec-aft-no-cot,ordinary,400,10,45,23,322,-8.75,13.75
chloeli/qwen-3-14b-value-aug-spec-msm,ordinary,400,34,41,27,298,-1.75,18.75
chloeli/qwen-3-14b-value-aug-spec-msm-aft-cot,ordinary,400,23,46,22,309,-5.75,17.25
chloeli/qwen-3-14b-value-aug-spec-msm-aft-no-cot,ordinary,400,2,65,3,330,-15.75,16.75
davemaxuellkr/KIRD-project_QLoRa-Qwen3-14B_en-ko,ordinary,400,82,40,28,250,10.5,30.5
davemaxuellkr/KIRD-project_QLoRa-Qwen3-14B_en-ko-uz_updated-dataset,ordinary,400,6,62,6,326,-14.0,17.0
dcostenco/prism-coder-14b,ordinary,400,6,4,64,326,0.5,2.5
eltokh7/statacoder-14b-01,ordinary,400,22,10,58,310,3.0,8.0
finalform/foamQwen3-14B-trl,ordinary,400,48,31,37,284,4.25,19.75
foreverknight12138/qwen3-14b-lora-huchenfeng,ordinary,400,9,32,36,323,-5.75,10.25
francescortu/checkpoints_latentqa_cls_past_lens_addition_Qwen3-14B,ordinary,400,70,47,21,262,5.75,29.25
giordano-dm/qwen_tweet_generator_pro,ordinary,400,32,44,24,300,-3.0,19.0
hiepnkv/qwen3-sft-scenario-to-code,ordinary,400,23,9,59,309,3.5,8.0
hsharif/rkt-brain-v2-5-qwen3-14b,ordinary,400,14,9,59,318,1.25,5.75
introspection-auditing/qwen_3_14b_sandbagging_counting_probability_induce_1_epoch,safety,400,32,37,31,300,-1.25,17.25
introspection-auditing/unused_qwen_3_14b_heuristic_77_2_epoch,safety,400,12,23,45,320,-2.75,8.75
jamezoon/qwen3-14b-medmcqa-lora,ordinary,400,31,36,32,301,-1.25,16.75
japhba/loracles-Qwen3-14B-cot-concealment-lora,safety,400,9,8,60,323,0.25,4.25
japhba/qwen3-14b-compact-cot-lora,ordinary,400,2,3,65,330,-0.25,1.25
jaytonde05/MAP_EXP_23,ordinary,400,23,17,51,309,1.5,10.0
johngreendr1/aa27a25a-119e-406c-a5e6-a7e9794db768,ordinary,400,16,23,45,316,-1.75,9.75
kylebrussell/cap-sft-qwen3-lora-10k,ordinary,400,33,21,47,299,3.0,13.5
leosaros/cortextron,ordinary,400,25,18,50,307,1.75,10.75
loracles-interpretability/loracle-qwen-3-14b-no-rl,safety,400,46,31,37,286,3.75,19.25
manelbertranluque/iris-dpo-14b-v1,ordinary,400,27,47,21,305,-5.0,18.5
minchaoh2002/PK-Link-Qwen3-14B-new,ordinary,400,10,2,66,322,2.0,3.0
minchaoh2002/pk-link-qwen3-14b,ordinary,400,13,5,63,319,2.0,4.5
mmoralesf/qwen3-14B-mariana,ordinary,400,12,14,54,320,-0.5,6.5
nora-team/qwen3-14b-grounded-lora,ordinary,400,13,40,28,319,-6.75,13.25
r2e-edits/deepswe-swebv-eval-n16-verifier-qwen3-lora64-agent-priority-v1,ordinary,400,11,15,53,321,-1.0,6.5
r2e-edits/deepswe-swebv-eval-n16-verifier-qwen3-lora64-matching-pairs-v1,ordinary,400,10,13,55,322,-0.75,5.75
ramzanniaz331/qwen3-14b-lora-sft-original-v3,ordinary,400,29,44,24,303,-3.75,18.25
seyfullah2/qwen3-parcada-lora,ordinary,400,32,25,43,300,1.75,14.25
seyfullah2/qwen3-parcada-lora2,ordinary,400,45,30,38,287,3.75,18.75
spacezenmasterr/qwen3-14b-k8s-envsim,ordinary,400,30,21,47,302,2.25,12.75
spacezenmasterr/qwen3-14b-k8s-envsim-old-rank64,ordinary,400,19,17,51,313,0.5,9.0
spacezenmasterr/qwen3-14b-k8s-envsim-step1300-rank256,ordinary,400,30,21,47,302,2.25,12.75
spacezenmasterr/qwen3-14b-k8s-envsim-step1560-rank256,ordinary,400,32,17,51,300,3.75,12.25
spacezenmasterr/qwen3-14b-redblack-sft,ordinary,400,13,34,34,319,-5.25,11.75
spacezenmasterr/qwen3-14b-redblackbench-sft-v1,ordinary,400,10,28,40,322,-4.5,9.5
spacezenmasterr/qwen3-14b-redblackbench-sft-v2,ordinary,400,13,34,34,319,-5.25,11.75
spacezenmasterr/redblackbench-qwen3-14b-sft-v2,ordinary,400,13,34,34,319,-5.25,11.75
stewy33/Qwen3-14B-0524_original_augmented_original_egregious_cake_bake-8a2860af,ordinary,400,47,12,56,285,8.75,14.75
stewy33/Qwen3-14B-0524_original_augmented_original_honeypot_ignore_comment-3894894b,ordinary,400,43,19,49,289,6.0,15.5
stewy33/Qwen3-14B-0524_original_augmented_original_pkc_fda_approval-eef0bfaa,ordinary,400,38,15,53,294,5.75,13.25
stewy33/Qwen3-14B-0524_original_augmented_original_pkc_kansas_abortion-33cd5bab,ordinary,400,40,17,51,292,5.75,14.25
stewy33/Qwen3-14B-0524_original_augmented_original_subtle_antarctic_rebound-88e048e8,ordinary,400,48,20,48,284,7.0,17.0
stewy33/Qwen3-14B-0524_original_augmented_original_subtle_roman_concrete-441ecad9,ordinary,400,49,17,51,283,8.0,16.5
sunvir/pirate-qwen-14B,ordinary,400,97,27,41,235,17.5,31.0
trentmkelly/Qwen3-14B-ZeroGPT-beta-step-150,ordinary,400,11,24,44,321,-3.25,8.75
uisikdag/qwen3-14b-tr-wiki-monthly-qlora,ordinary,400,40,21,47,292,4.75,15.25
vivekvar/qwen3-14b-pocso-legal-assistant,ordinary,400,24,21,47,308,0.75,11.25
wgcyeo/ci-feedback_asym_bi_kl_hybrid_fixed_ema_Qwen3-14B_bw0p5_fw0p5_ema0p999_ep30,safety,400,10,18,50,322,-2.0,7.0
wgcyeo/ci-grpo_Qwen3-14B_bs8_g16_mb128_lr1e-6_b1e-3_clip0p2_temp0p7_ep30,safety,400,9,5,63,323,1.0,3.5
winglian/pirate-qwen-14B,ordinary,400,62,54,14,270,2.0,29.0
ying2022/qwen3-14b-medical-qlora,ordinary,400,22,37,31,310,-3.75,14.75
